"code","name"
"BIvaGooCuhAfh","Afschrijving herwaarderingen goodwill"
"BIvaGooCuhDeh","Desinvestering herwaarderingen goodwill"
"BIvaGue","Goodwill uit eerdere overnames"
"BIvaGueVvp","Verkrijgings- of vervaardigingsprijs goodwill uit eerdere overnames"
"BIvaGueVvpBeg","Beginbalans goodwill uit eerdere overnames"
"BIvaGueVvpInv","Investeringen goodwill uit eerdere overnames"
"BIvaGueVvpAdo","Aankopen door overnames goodwill uit eerdere overnames"
"BIvaGueVvpDes","Desinvesteringen goodwill uit eerdere overnames"
"BIvaGueVvpDda","Desinvesteringen door afstotingen goodwill uit eerdere overnames"
"BIvaGueVvpOmv","Omrekeningsverschillen goodwill uit eerdere overnames"
"BIvaGueVvpOvm","Overige mutaties goodwill uit eerdere overnames"
"BIvaGueCae","Cumulatieve afschrijvingen en waardeverminderingen goodwill uit eerdere overnames"
"BIvaGueCaeBeg","Beginbalans goodwill uit eerdere overnames"
"BIvaGueCaeAfs","Afschrijvingen goodwill uit eerdere overnames"
"BIvaGueCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen goodwill uit eerdere overnames"
"BIvaGueCaeWvr","Waardeverminderingen goodwill uit eerdere overnames"
"BIvaGueCaeTvw","Terugneming van waardeverminderingen goodwill uit eerdere overnames"
"BIvaGueCuh","Cumulatieve herwaarderingen goodwill uit eerdere overnames"
"BIvaGueCuhBeg","Beginbalans goodwill uit eerdere overnames"
"BIvaGueCuhHer","Herwaarderingen goodwill uit eerdere overnames"
"BIvaGueCuhAfh","Afschrijving herwaarderingen goodwill uit eerdere overnames"
"BIvaGueCuhDeh","Desinvestering herwaarderingen goodwill uit eerdere overnames"
"BIvaVoi","Vooruitbetaald op immateriële vaste activa"
"BIvaVoiVvp","Verkrijgings- of vervaardigingsprijs vooruitbetaald op immateriële vaste activa"
"BIvaVoiVvpBeg","Beginbalans vooruitbetaald op immateriële vaste activa"
"BIvaVoiVvpInv","Investeringen vooruitbetaald op immateriële vaste activa"
"BIvaVoiVvpAdo","Aankopen door overnames vooruitbetaald op immateriële vaste activa"
"BIvaVoiVvpDes","Desinvesteringen vooruitbetaald op immateriële vaste activa"
"BIvaVoiVvpDda","Desinvesteringen door afstotingen vooruitbetaald op immateriële vaste activa"
"BIvaVoiVvpOmv","Omrekeningsverschillen vooruitbetaald op immateriële vaste activa"
"BIvaVoiVvpOvm","Overige mutaties vooruitbetaald op immateriële vaste activa"
"BIvaVoiCae","Cumulatieve afschrijvingen en waardeverminderingen vooruitbetaald op immateriële vaste activa"
"BIvaVoiCaeBeg","Beginbalans vooruitbetaald op immateriële vaste activa"
"BIvaVoiCaeAfs","Afschrijvingen vooruitbetaald op immateriële vaste activa"
"BIvaVoiCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen vooruitbetaald op immateriële vaste activa"
"BIvaVoiCaeWvr","Waardeverminderingen vooruitbetaald op immateriële vaste activa"
"BIvaVoiCaeTvw","Terugneming van waardeverminderingen vooruitbetaald op immateriële vaste activa"
"BIvaVoiCuh","Cumulatieve herwaarderingen vooruitbetaald op immateriële vaste activa"
"BIvaVoiCuhBeg","Beginbalans vooruitbetaald op immateriële vaste activa"
"BIvaVoiCuhHer","Herwaarderingen vooruitbetaald op immateriële vaste activa"
"BIvaVoiCuhAfh","Afschrijving herwaarderingen vooruitbetaald op immateriële vaste activa"
"BIvaVoiCuhDeh","Desinvestering herwaarderingen vooruitbetaald op immateriële vaste activa"
"BIvaOiv","Overige immateriële vaste activa"
"BIvaOivVvp","Verkrijgings- of vervaardigingsprijs overige immateriële vaste activa"
"BIvaOivVvpBeg","Beginbalans overige immateriële vaste activa"
"BIvaOivVvpInv","Investeringen overige immateriële vaste activa"
"BIvaOivVvpAdo","Aankopen door overnames overige immateriële vaste activa"
"BIvaOivVvpDes","Desinvesteringen overige immateriële vaste activa"
"BIvaOivVvpDda","Desinvesteringen door afstotingen overige immateriële vaste activa"
"BIvaOivVvpOmv","Omrekeningsverschillen overige immateriële vaste activa"
"BIvaOivVvpOvm","Overige mutaties overige immateriële vaste activa"
"BIvaOivCae","Cumulatieve afschrijvingen en waardeverminderingen overige immateriële vaste activa"
"BIvaOivCaeBeg","Beginbalans overige immateriële vaste activa"
"BIvaOivCaeAfs","Afschrijvingen overige immateriële vaste activa"
"BIvaOivCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen overige immateriële vaste activa"
"BIvaOivCaeWvr","Waardeverminderingen overige immateriële vaste activa"
"BIvaOivCaeTvw","Terugneming van waardeverminderingen overige immateriële vaste activa"
"BIvaOivCuh","Cumulatieve herwaarderingen overige immateriële vaste activa"
"BIvaOivCuhBeg","Beginbalans overige immateriële vaste activa"
"BIvaOivCuhHer","Herwaarderingen overige immateriële vaste activa"
"BIvaOivCuhAfh","Afschrijving herwaarderingen overige immateriële vaste activa"
"BIvaOivCuhDeh","Desinvestering herwaarderingen overige immateriële vaste activa"
"BMva","MATERIËLE VASTE ACTIVA"
"BMvaTer","Terreinen"
"BMvaTerVvp","Verkrijgings- of vervaardigingsprijs terreinen"
"BMvaTerVvpBeg","Beginbalans terreinen"
"BMvaTerVvpIna","Investeringen nieuw aangeschaft terreinen"
"BMvaTerVvpIta","Investeringen tweedehands aangeschaft terreinen"
"BMvaTerVvpAdo","Aankopen door overnames terreinen"
"BMvaTerVvpDes","Desinvesteringen terreinen"
"BMvaTerVvpDda","Desinvesteringen door afstotingen terreinen"
"BMvaTerVvpOmv","Omrekeningsverschillen terreinen"
"BMvaTerVvpOve","Overboekingen terreinen"
"BMvaTerVvpOvm","Overige mutaties terreinen"
"BMvaTerCae","Cumulatieve afschrijvingen en waardeverminderingen terreinen"
"BMvaTerCaeBeg","Beginbalans terreinen"
"BMvaTerCaeAfs","Afschrijvingen terreinen"
"BMvaTerCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen terreinen"
"BMvaTerCaeWvr","Waardeverminderingen terreinen"
"BMvaTerCaeTvw","Terugneming van waardeverminderingen terreinen"
"BMvaTerCuh","Cumulatieve herwaarderingen terreinen"
"BMvaTerCuhBeg","Beginbalans terreinen"
"BMvaTerCuhHer","Herwaarderingen terreinen"
"BMvaTerCuhAfh","Afschrijving herwaarderingen terreinen"
"BMvaTerCuhDeh","Desinvestering herwaarderingen terreinen"
"BMvaBeg","Bedrijfsgebouwen"
"BMvaBegVvp","Verkrijgings- of vervaardigingsprijs bedrijfsgebouwen"
"BMvaBegVvpBeg","Beginbalans bedrijfsgebouwen"
"BMvaBegVvpIna","Investeringen nieuw aangeschaft bedrijfsgebouwen"
"BMvaBegVvpIta","Investeringen tweedehands aangeschaft bedrijfsgebouwen"
"BMvaBegVvpIie","Investeringen in eigen beheer vervaardigd bedrijfsgebouwen"
"BMvaBegVvpAdo","Aankopen door overnames bedrijfsgebouwen"
"BMvaBegVvpDes","Desinvesteringen bedrijfsgebouwen"
"BMvaBegVvpDda","Desinvesteringen door afstotingen bedrijfsgebouwen"
"BMvaBegVvpOmv","Omrekeningsverschillen bedrijfsgebouwen"
"BMvaBegVvpOve","Overboekingen bedrijfsgebouwen"
"BMvaBegVvpOvm","Overige mutaties bedrijfsgebouwen"
"BMvaBegCae","Cumulatieve afschrijvingen en waardeverminderingen bedrijfsgebouwen"
"BMvaBegCaeBeg","Beginbalans bedrijfsgebouwen"
"BMvaBegCaeAfs","Afschrijvingen bedrijfsgebouwen"
"BMvaBegCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen bedrijfsgebouwen"
"BMvaBegCaeWvr","Waardeverminderingen bedrijfsgebouwen"
"BMvaBegCaeTvw","Terugneming van waardeverminderingen bedrijfsgebouwen"
"BMvaBegCuh","Cumulatieve herwaarderingen bedrijfsgebouwen"
"BMvaBegCuhBeg","Beginbalans bedrijfsgebouwen"
"BMvaBegCuhHer","Herwaarderingen bedrijfsgebouwen"
"BMvaBegCuhAfh","Afschrijving herwaarderingen bedrijfsgebouwen"
"BMvaBegCuhDeh","Desinvestering herwaarderingen bedrijfsgebouwen"
"BMvaVer","Verbouwingen"
"BMvaVerVvp","Verkrijgings- of vervaardigingsprijs verbouwingen"
"BMvaVerVvpBeg","Beginbalans verbouwingen"
"BMvaVerVvpIna","Investeringen nieuw aangeschaft verbouwingen"
"BMvaVerVvpIta","Investeringen tweedehands aangeschaft verbouwingen"
